X (m),Y (m),Z (m),Ux (m/s),Uy (m/s),Uz (m/s),Gamma (dimensionless),Phi_v (W/m^3),KE_Flux_Density (W/m^2)
-0.00900013,1.50791e-08,0.00511415,-0.012945721,0.014514442,-0.014343939,0.43948373,0.062025808,0.007056667
-0.00600001,1.16267e-09,0.00511555,-0.008863159,0.009000774,-0.009001349,0.30197984,0.011269499,0.0018659356
-0.003,1.98813e-10,0.00511606,-0.005773211,0.006347873,-0.009228823,0.37783822,0.007560799,0.0010005339
-4.38431e-14,1.50311e-10,0.00511616,-0.0015526818,0.0030279635,-0.01270002,0.32308125,0.0073432922,0.0011364466
0.003,1.98268e-10,0.00511606,0.0013085055,0.0015501995,-0.0044318275,39.84143,0.046132382,5.789499e-05
0.00600001,1.16175e-09,0.00511554,0.0037446648,-0.0004898058,-0.010403704,4.4326596,0.06009879,0.00067790895
0.00900013,1.50846e-08,0.00511415,0.004537075,-0.0011115458,-0.0031072316,9.888613,0.017461991,8.829343e-05
0.0120017,2.85965e-07,0.00510775,0.0038056101,-0.01016839,0.00062062003,8.566721,0.110177636,0.00064305606
0.0150129,9.25356e-06,0.00506593,0.0041438155,-0.053751912,0.0030665032,0.030559972,0.048117064,0.078725636
0.0177383,-9.69866e-06,0.00504044,2.6377608e-08,0.0,0.0,1000000.0,12.985636,9.1764824e-21
-0.015075,0.00301501,0.00504718,0.019597035,0.09149919,0.02163534,0.28148755,2.4937599,0.44296092
-0.0120045,0.00300176,0.00510491,-0.015906315,0.03416542,0.00037185644,1.388267,0.7431912,0.026766866
-0.0090003,0.00300016,0.00511369,-0.011609418,0.019024465,-0.01741534,0.32309768,0.07310905,0.01131377
-0.00600002,0.00300002,0.00511524,-0.006525381,0.010692356,-0.012567745,0.43742785,0.024438402,0.002793421
-0.003,0.003,0.00511589,-0.0034512198,0.0058111325,-0.011210047,0.21825872,0.0048953076,0.0011214461
1.15319e-13,0.003,0.00511603,-0.00045149494,0.0036569037,-0.010739007,0.6686078,0.009785123,0.00073175365
0.003,0.003,0.00511589,0.0017788253,0.0035591098,-0.0028315454,23.605968,0.027493536,5.823429e-05
0.00600002,0.00300002,0.00511524,0.0053053787,0.0030525504,-0.0024233293,6.0043235,0.017130176,0.00014264867
0.0090003,0.00300016,0.00511369,0.006105509,0.00094784616,-0.0037339472,1.2241803,0.004606034,0.00018812728
0.0120045,0.00300176,0.00510491,0.008895202,-0.016297057,0.0016144331,4.005816,0.2592956,0.0032364891
0.015075,0.00301501,0.00504718,0.015993742,-0.06055201,0.005651954,0.022748066,0.05656493,0.124329105
-0.0151326,0.00607792,0.00500447,0.034737516,0.10001469,0.05094148,0.074190274,1.2033331,0.8109777
-0.0120155,0.00601008,0.0050933,0.011349786,0.08118872,0.028596738,0.33662504,2.2031693,0.32724383
-0.00900135,0.00600109,0.00511117,-0.012000138,0.024763068,-0.013252512,0.4763745,0.13572524,0.014245645
-0.00600013,0.00600013,0.00511431,-0.0063968548,0.013801166,-0.015145914,0.43280667,0.042810418,0.0049456744
-0.00300001,0.00600003,0.00511519,-0.0021939215,0.006798631,-0.011458159,0.6807862,0.016760109,0.0012309378
5.42665e-13,0.00600002,0.00511544,0.0019358384,0.005085924,-0.0075208866,2.2161295,0.017729169,0.000400003
0.00300001,0.00600003,0.00511519,0.0055892356,0.0050453437,-0.008176569,0.37112954,0.005096788,0.0006866589
0.00600013,0.00600013,0.00511431,0.0060222903,0.0053646206,-0.00628182,1.4642133,0.015643401,0.0005341913
0.00900136,0.00600109,0.00511117,0.009775976,0.0002782884,0.00375706,4.2682285,0.049082827,0.0005749789
0.0120155,0.00601009,0.00509329,0.022708107,-0.03649183,0.006639221,0.36687195,0.30177727,0.04112842
0.0151326,0.00607792,0.00500447,0.030743016,-0.06927704,0.009308321,0.007823256,0.034834675,0.22263542
-0.0150644,0.00897613,0.00501351,0.0,0.0,0.0,0.0,262.81332,0.0
-0.0120726,0.00905951,0.00505487,0.07065725,0.124387935,0.07758867,0.022171432,0.95562834,2.1550894
-0.00900949,0.00900953,0.00510008,0.026920235,0.063082464,0.025880592,0.43376195,1.7087791,0.196972
-0.00600076,0.009001,0.00511124,-9.754183e-05,0.022196561,-0.0073019494,1.2225841,0.15598609,0.0063793603
-0.0030001,0.00900041,0.0051135,8.219401e-05,0.01140363,-0.01176282,0.51720357,0.02274406,0.0021987532
3.99773e-13,0.00900027,0.00511393,0.004101464,0.00707056,-0.006804223,1.7773211,0.021381127,0.0006014987
0.0030001,0.00900041,0.0051135,0.008653906,0.006975455,-0.0034647675,0.5408081,0.008534941,0.0007890915
0.00600076,0.009001,0.00511124,0.011649301,0.005175107,-0.0036648572,2.4179518,0.056417946,0.0011666474
0.00900948,0.00900952,0.00510008,0.022456113,-0.013223663,0.00700801,2.8262022,0.55542815,0.009826405
0.0120727,0.00905958,0.00505487,0.048331447,-0.061516587,0.01602955,0.040510096,0.20630263,0.25463113
0.0150644,0.00897613,0.00501351,0.0,0.0,0.0,0.0,61.176476,0.0
-0.0123362,0.0123553,0.0050276,0.0,0.0,0.0,0.0,220.41245,0.0
-0.00904325,0.012052,0.00505689,0.113226235,0.10190248,0.09033462,0.014059991,0.78098994,2.7773488
-0.00600407,0.0120076,0.00509343,0.07782363,0.05973315,0.049646787,0.095658354,1.2715352,0.66462314
-0.00300109,0.0120064,0.00510296,0.04251598,0.026291026,0.021262422,0.72455543,1.1614677,0.080150366
-1.71958e-11,0.0120039,0.00510555,0.025927115,0.009711292,0.008067939,2.2576177,0.5414205,0.011990971
0.00300109,0.0120064,0.00510296,0.025488801,0.0016924578,0.0076071494,2.3483107,0.4446528,0.009467504
0.00600407,0.0120076,0.00509343,0.043366473,-0.014298252,0.015282458,0.9171535,1.0239842,0.055824038
0.00904324,0.012052,0.00505687,0.07450251,-0.054991454,0.027506562,0.062015887,0.55900526,0.4506952
0.0123362,0.0123553,0.0050276,0.0,0.0,0.0,0.0,54.774757,0.0
-0.00897108,0.0149089,0.00502803,0.0,0.0,0.0,0.0,181.44402,0.0
-0.00602151,0.0150487,0.00501065,0.16298343,0.071850345,0.11004674,0.0057407366,0.52688915,4.589038
-0.00301514,0.0150864,0.00504241,0.14957662,0.040095218,0.084305294,0.012096836,0.663078,2.7407086
-1.8687e-10,0.0150632,0.00504992,0.13468151,0.012356091,0.06593361,0.027445205,0.93487394,1.7031645
0.00301514,0.0150864,0.00504241,0.13201778,-0.017896365,0.058038935,0.030151865,0.92528945,1.5343819
0.00602151,0.0150487,0.00501065,0.13297036,-0.051204804,0.055091828,0.013739071,0.48984334,1.7826655
0.00897108,0.0149089,0.00502803,0.0,0.0,0.0,0.0,73.95136,0.0
0.0,-0.0177445,0.016,5.295488e-08,0.0,0.0,1000000.0,2.0657604,7.424855e-20
-0.0091577,-0.0151992,0.016,5.295488e-08,0.0,0.0,1000000.0,1.476815,7.424855e-20
-0.00603187,-0.0151308,0.0160005,-0.023275798,0.009215079,0.00053924345,0.02913653,0.0045741387,0.007849491
-0.00301264,-0.0151041,0.0160025,-0.026228454,0.0048528207,0.0015197247,0.017262278,0.0032919624,0.009535134
-2.08921e-12,-0.0149946,0.0160062,-0.027915781,-0.000434504,0.0024294327,0.011751968,0.0025866153,0.011005031
0.00301264,-0.0151041,0.0160025,-0.02937875,-0.0067586056,0.0033848218,0.008868504,0.0024757497,0.013958102
0.00603187,-0.0151308,0.0160005,-0.030442812,-0.013509598,0.004598902,0.019881222,0.0075562284,0.01900343
0.0091577,-0.0151992,0.016,-0.008225492,-0.0057224627,0.0011506898,257.0843,2.6378202,0.0005130263
-0.0120692,-0.0120691,0.0160001,-0.014055346,0.015700756,-0.0011323697,1.2969452,0.121891074,0.004699161
-0.0090429,-0.0120691,0.0160042,-0.017992698,0.014112751,-0.0004998328,0.021407416,0.0025616037,0.005982982
-0.00601467,-0.0120346,0.016013,-0.019848177,0.010519651,-7.843263e-05,0.0144258095,0.0016352574,0.0056678182
-0.0030044,-0.0120231,0.0160183,-0.020751603,0.005494703,0.00021993551,0.025398323,0.002512879,0.004946939
-5.60652e-11,-0.0120075,0.0160209,-0.021775747,-0.00016688858,0.00070785696,0.035972293,0.003720604,0.005171486
0.0030044,-0.0120231,0.0160183,-0.0231252,-0.0066516283,0.0017809633,0.025965044,0.0036474317,0.007023735
0.00601467,-0.0120346,0.016013,-0.025128845,-0.014303274,0.0042596073,0.011245046,0.0028073108,0.0124824345
0.00904292,-0.0120691,0.0160042,-0.026905842,-0.023796462,0.007583554,0.011777818,0.005827171,0.024737904
0.0120692,-0.0120691,0.0160001,-0.025396632,-0.0321939,0.010895834,0.4566361,0.34876686,0.038188707
-0.0151881,-0.00918242,0.016,-0.0013520321,0.005915831,-0.000499552,435.60287,0.9833437,0.00011287158
-0.0120685,-0.00904625,0.0160042,-0.011169126,0.018284867,-0.0023397715,0.028602067,0.0028639175,0.005006487
-0.00901823,-0.00901887,0.0160173,-0.013083739,0.015142523,-0.0022324882,0.020334164,0.0016601797,0.0040822425
-0.00600424,-0.00900714,0.0160244,-0.013629182,0.010736958,-0.0025070377,0.03505836,0.0018887841,0.0026937714
-0.00300089,-0.00900331,0.0160289,-0.01322757,0.0059294594,-0.0032695185,0.13707194,0.004497766,0.001640659
-1.67645e-10,-0.00900147,0.0160318,-0.01242225,0.0010942239,-0.0038814493,0.24073733,0.00536312,0.0011138946
0.00300089,-0.00900331,0.0160289,-0.01286123,-0.0047429353,-0.002955014,0.28349456,0.00781715,0.0013787126
0.00600424,-0.00900714,0.0160244,-0.015385473,-0.012103501,0.0005382293,0.17559592,0.013187357,0.0037550295
0.00901824,-0.00901887,0.0160173,-0.019307336,-0.023130018,0.006227976,0.03886446,0.01131811,0.014561003
0.0120685,-0.00904624,0.0160042,-0.022594923,-0.037886817,0.012330379,0.014404196,0.013841748,0.048047625
0.0151881,-0.00918242,0.016,-0.0057757734,-0.012281445,0.0043139304,254.45071,7.348804,0.0014440526
-0.0151264,-0.00605077,0.0160004,-0.0051866174,0.017477905,-0.0032889817,0.2679604,0.017036607,0.0031789416
-0.0120336,-0.006019,0.0160129,-0.0070325285,0.018156733,-0.0039136386,0.050311767,0.0039413134,0.0039168904
-0.00900693,-0.0060049,0.0160244,-0.007937172,0.014995777,-0.0042724023,0.019769218,0.0010588604,0.0026780535
-0.00600117,-0.00600125,0.0160329,-0.007571868,0.011063304,-0.005665688,0.06587298,0.0020308986,0.0015415262
-0.00300019,-0.00600042,0.0160365,-0.0064592557,0.0064792135,-0.008220877,0.31256002,0.0058160378,0.00093038735
-3.48806e-10,-0.00600021,0.0160378,-0.0050882064,0.0018456267,-0.011213732,0.67270064,0.012986861,0.0009652779
0.00300019,-0.00600042,0.0160365,-0.004520169,-0.0030668862,-0.011366127,0.7050418,0.014139021,0.001002708
0.00600117,-0.00600125,0.0160329,-0.005785062,-0.008688609,-0.006227294,0.9185405,0.016494416,0.00089786004
0.00900693,-0.0060049,0.0160244,-0.009113537,-0.019986695,0.0030621712,0.24166164,0.02636482,0.005454904
0.0120336,-0.006019,0.0160129,-0.014114662,-0.037452545,0.012727363,0.03125364,0.023153279,0.037040934
0.0151264,-0.00605077,0.0160004,-0.014448946,-0.049796596,0.01792094,0.013900493,0.022950944,0.08255442
-0.0150997,-0.00303637,0.0160023,0.004829064,0.017904272,-0.002664115,1.4083103,0.09260248,0.0032877156
-0.012023,-0.00300965,0.0160181,-0.00032946753,0.017460778,-0.0046115373,0.2348676,0.01384064,0.002946477
-0.00900333,-0.00300154,0.0160289,-0.0025399905,0.014661595,-0.00589307,0.04495941,0.001843072,0.0020497066
-0.00600044,-0.00300024,0.0160365,-0.0026133868,0.011036942,-0.00845388,0.07378214,0.0020886268,0.0014154015
-0.00300007,-0.00300006,0.01604,-0.0014898031,0.0066173454,-0.013047479,0.16830091,0.0053518885,0.0015899763
-9.61486e-11,-0.00300003,0.0160415,7.3633004e-05,0.0022973733,-0.017657448,0.066883944,0.003776175,0.002822931
0.00300007,-0.00300006,0.01604,0.000677555,-0.0017273669,-0.018104712,0.065084614,0.0039233756,0.0030140576
0.00600044,-0.00300024,0.0160365,0.00011508555,-0.006739877,-0.0126108695,0.55039537,0.016092718,0.0014619235
0.00900333,-0.00300154,0.0160289,-0.0011986531,-0.016615706,-0.0009607076,1.0404127,0.048339978,0.0023231155
0.012023,-0.00300965,0.0160181,-0.0038858145,-0.03678234,0.013305347,0.06127867,0.037216246,0.030366395
0.0150997,-0.00303637,0.0160023,-0.005761494,-0.054793067,0.021483343,0.0066867317,0.01382799,0.10339872
-0.0177383,-9.5963e-06,0.016,2.6441809e-08,0.0,0.0,1000000.0,1.7779708,9.24365e-21
-0.0150287,1.36601e-05,0.0160035,0.013421008,0.02502349,-0.0024706246,0.29137903,0.06747071,0.011577824
-0.0120136,1.82392e-06,0.0160204,0.00932844,0.021107035,-0.004034666,0.06430534,0.008267503,0.006428318
-0.00900237,2.68715e-07,0.0160316,0.004004608,0.016561713,-0.0065732603,0.08101388,0.0049348213,0.0030456644
